@relation inflection_verbs
@attribute ending {ar,er,ir}
@attribute endingstem string
@attribute penSyl string
@attribute person {0, 1, 2, 3}
@attribute number {0, 1}
@attribute tense {0, 1, 2, 3, 4}
@attribute mood {0, 1, 2, 3}
@attribute class {0, 1}
@data
ar,ANY,ANY,1,0,0,0,0
ar,ANY,ANY,2,0,0,0,0
ar,ANY,ANY,3,0,0,0,0
ar,ANY,ANY,1,1,0,0,0
ar,ANY,ANY,2,1,0,0,0
ar,ANY,ANY,3,1,0,0,0
ar,g,ANY,1,0,0,0,0
ar,g,ANY,2,0,0,0,0
ar,g,ANY,3,0,0,0,0
ar,g,ANY,1,1,0,0,0
ar,g,ANY,2,1,0,0,0
ar,g,ANY,3,1,0,0,0
ar,i,ANY,1,0,0,0,0
ar,i,ANY,2,0,0,0,0
ar,i,ANY,3,0,0,0,0
ar,i,ANY,1,1,0,0,0
ar,i,ANY,2,1,0,0,0
ar,i,ANY,3,1,0,0,0
ar,u,ANY,1,0,0,0,0
ar,u,ANY,2,0,0,0,0
ar,u,ANY,3,0,0,0,0
ar,u,ANY,1,1,0,0,0
ar,u,ANY,2,1,0,0,0
ar,u,ANY,3,1,0,0,0
ar,ANY,ANY,1,0,1,0,0
ar,ANY,ANY,2,0,1,0,0
ar,ANY,ANY,3,0,1,0,0
ar,ANY,ANY,1,1,1,0,0
ar,ANY,ANY,2,1,1,0,0
ar,ANY,ANY,3,1,1,0,0
ar,g,ANY,1,0,1,0,0
ar,g,ANY,2,0,1,0,0
ar,g,ANY,3,0,1,0,0
ar,g,ANY,1,1,1,0,0
ar,g,ANY,2,1,1,0,0
ar,g,ANY,3,1,1,0,0
ar,i,ANY,1,0,1,0,0
ar,i,ANY,2,0,1,0,0
ar,i,ANY,3,0,1,0,0
ar,i,ANY,1,1,1,0,0
ar,i,ANY,2,1,1,0,0
ar,i,ANY,3,1,1,0,0
ar,u,ANY,1,0,1,0,0
ar,u,ANY,2,0,1,0,0
ar,u,ANY,3,0,1,0,0
ar,u,ANY,1,1,1,0,0
ar,u,ANY,2,1,1,0,0
ar,u,ANY,3,1,1,0,0
ar,ANY,ANY,1,0,3,0,0
ar,ANY,ANY,2,0,3,0,0
ar,ANY,ANY,3,0,3,0,0
ar,ANY,ANY,1,1,3,0,0
ar,ANY,ANY,2,1,3,0,0
ar,ANY,ANY,3,1,3,0,0
ar,g,ANY,1,0,3,0,0
ar,g,ANY,2,0,3,0,0
ar,g,ANY,3,0,3,0,0
ar,g,ANY,1,1,3,0,0
ar,g,ANY,2,1,3,0,0
ar,g,ANY,3,1,3,0,0
ar,i,ANY,1,0,3,0,0
ar,i,ANY,2,0,3,0,0
ar,i,ANY,3,0,3,0,0
ar,i,ANY,1,1,3,0,0
ar,i,ANY,2,1,3,0,0
ar,i,ANY,3,1,3,0,0
ar,u,ANY,1,0,3,0,0
ar,u,ANY,2,0,3,0,0
ar,u,ANY,3,0,3,0,0
ar,u,ANY,1,1,3,0,0
ar,u,ANY,2,1,3,0,0
ar,u,ANY,3,1,3,0,0
ar,ANY,ANY,1,0,2,0,0
ar,ANY,ANY,2,0,2,0,0
ar,ANY,ANY,3,0,2,0,0
ar,ANY,ANY,1,1,2,0,0
ar,ANY,ANY,2,1,2,0,0
ar,ANY,ANY,3,1,2,0,0
ar,g,ANY,1,0,2,0,0
ar,g,ANY,2,0,2,0,0
ar,g,ANY,3,0,2,0,0
ar,g,ANY,1,1,2,0,0
ar,g,ANY,2,1,2,0,0
ar,g,ANY,3,1,2,0,0
ar,i,ANY,1,0,2,0,0
ar,i,ANY,2,0,2,0,0
ar,i,ANY,3,0,2,0,0
ar,i,ANY,1,1,2,0,0
ar,i,ANY,2,1,2,0,0
ar,i,ANY,3,1,2,0,0
ar,u,ANY,1,0,2,0,0
ar,u,ANY,2,0,2,0,0
ar,u,ANY,3,0,2,0,0
ar,u,ANY,1,1,2,0,0
ar,u,ANY,2,1,2,0,0
ar,u,ANY,3,1,2,0,0
ar,ANY,ANY,1,0,4,0,0
ar,ANY,ANY,2,0,4,0,0
ar,ANY,ANY,3,0,4,0,0
ar,ANY,ANY,1,1,4,0,0
ar,ANY,ANY,2,1,4,0,0
ar,ANY,ANY,3,1,4,0,0
ar,g,ANY,1,0,4,0,0
ar,g,ANY,2,0,4,0,0
ar,g,ANY,3,0,4,0,0
ar,g,ANY,1,1,4,0,0
ar,g,ANY,2,1,4,0,0
ar,g,ANY,3,1,4,0,0
ar,i,ANY,1,0,4,0,0
ar,i,ANY,2,0,4,0,0
ar,i,ANY,3,0,4,0,0
ar,i,ANY,1,1,4,0,0
ar,i,ANY,2,1,4,0,0
ar,i,ANY,3,1,4,0,0
ar,u,ANY,1,0,4,0,0
ar,u,ANY,2,0,4,0,0
ar,u,ANY,3,0,4,0,0
ar,u,ANY,1,1,4,0,0
ar,u,ANY,2,1,4,0,0
ar,u,ANY,3,1,4,0,0
ar,ANY,ANY,2,0,0,2,0
ar,ANY,ANY,2,1,0,2,0
ar,g,ANY,2,0,0,2,0
ar,g,ANY,2,1,0,2,0
ar,i,ANY,2,0,0,2,0
ar,i,ANY,2,1,0,2,0
ar,u,ANY,2,0,0,2,0
ar,u,ANY,2,1,0,2,0
ar,ANY,ANY,0,0,0,3,0
ar,g,ANY,0,0,0,3,0
ar,i,ANY,0,0,0,3,0
ar,u,ANY,0,0,0,3,0
ar,ANY,ANY,0,0,1,3,0
ar,g,ANY,0,0,1,3,0
ar,i,ANY,0,0,1,3,0
ar,u,ANY,0,0,1,3,0
ar,ANY,ANY,0,0,2,3,0
ar,g,ANY,0,0,2,3,0
ar,i,ANY,0,0,2,3,0
ar,u,ANY,0,0,2,3,0
ar,ANY,ANY,1,0,0,1,0
ar,ANY,ANY,2,0,0,1,0
ar,ANY,ANY,3,0,0,1,0
ar,ANY,ANY,1,1,0,1,0
ar,ANY,ANY,2,1,0,1,0
ar,ANY,ANY,3,1,0,1,0
ar,g,ANY,1,0,0,1,0
ar,g,ANY,2,0,0,1,0
ar,g,ANY,3,0,0,1,0
ar,g,ANY,1,1,0,1,0
ar,g,ANY,2,1,0,1,0
ar,g,ANY,3,1,0,1,0
ar,i,ANY,1,0,0,1,0
ar,i,ANY,2,0,0,1,0
ar,i,ANY,3,0,0,1,0
ar,i,ANY,1,1,0,1,0
ar,i,ANY,2,1,0,1,0
ar,i,ANY,3,1,0,1,0
ar,u,ANY,1,0,0,1,0
ar,u,ANY,2,0,0,1,0
ar,u,ANY,3,0,0,1,0
ar,u,ANY,1,1,0,1,0
ar,u,ANY,2,1,0,1,0
ar,u,ANY,3,1,0,1,0
ar,ANY,ANY,1,0,1,1,0
ar,ANY,ANY,2,0,1,1,0
ar,ANY,ANY,3,0,1,1,0
ar,ANY,ANY,1,1,1,1,0
ar,ANY,ANY,2,1,1,1,0
ar,ANY,ANY,3,1,1,1,0
ar,g,ANY,1,0,1,1,0
ar,g,ANY,2,0,1,1,0
ar,g,ANY,3,0,1,1,0
ar,g,ANY,1,1,1,1,0
ar,g,ANY,2,1,1,1,0
ar,g,ANY,3,1,1,1,0
ar,i,ANY,1,0,1,1,0
ar,i,ANY,2,0,1,1,0
ar,i,ANY,3,0,1,1,0
