@relation inflection_verbs
@attribute ending {ar,er,ir}
@attribute endingstem string
@attribute penSyl string
@attribute person {0, 1, 2, 3}
@attribute number {0, 1}
@attribute tense {0, 1, 2, 3, 4}
@attribute mood {0, 1, 2, 3}
@attribute class {0, 1}
@data
ar,c,ANY,1,0,0,0,1
ar,c,ANY,2,0,0,0,1
ar,c,ANY,3,0,0,0,1
ar,c,ANY,1,1,0,0,1
ar,c,ANY,2,1,0,0,1
ar,c,ANY,3,1,0,0,1
ar,gu,ANY,1,0,0,0,1
ar,gu,ANY,2,0,0,0,1
ar,gu,ANY,3,0,0,0,1
ar,gu,ANY,1,1,0,0,1
ar,gu,ANY,2,1,0,0,1
ar,gu,ANY,3,1,0,0,1
ar,z,ANY,1,0,0,0,1
ar,z,ANY,2,0,0,0,1
ar,z,ANY,3,0,0,0,1
ar,z,ANY,1,1,0,0,1
ar,z,ANY,2,1,0,0,1
ar,z,ANY,3,1,0,0,1
ar,ANY,ai,1,0,0,0,1
ar,ANY,ai,2,0,0,0,1
ar,ANY,ai,3,0,0,0,1
ar,ANY,ai,1,1,0,0,1
ar,ANY,ai,2,1,0,0,1
ar,ANY,ai,3,1,0,0,1
ar,ANY,au,1,0,0,0,1
ar,ANY,au,2,0,0,0,1
ar,ANY,au,3,0,0,0,1
ar,ANY,au,1,1,0,0,1
ar,ANY,au,2,1,0,0,1
ar,ANY,au,3,1,0,0,1
ar,ANY,ei,1,0,0,0,1
ar,ANY,ei,2,0,0,0,1
ar,ANY,ei,3,0,0,0,1
ar,ANY,ei,1,1,0,0,1
ar,ANY,ei,2,1,0,0,1
ar,ANY,ei,3,1,0,0,1
ar,ANY,eu,1,0,0,0,1
ar,ANY,eu,2,0,0,0,1
ar,ANY,eu,3,0,0,0,1
ar,ANY,eu,1,1,0,0,1
ar,ANY,eu,2,1,0,0,1
ar,ANY,eu,3,1,0,0,1
ar,c,ANY,1,0,1,0,1
ar,c,ANY,2,0,1,0,1
ar,c,ANY,3,0,1,0,1
ar,c,ANY,1,1,1,0,1
ar,c,ANY,2,1,1,0,1
ar,c,ANY,3,1,1,0,1
ar,gu,ANY,1,0,1,0,1
ar,gu,ANY,2,0,1,0,1
ar,gu,ANY,3,0,1,0,1
ar,gu,ANY,1,1,1,0,1
ar,gu,ANY,2,1,1,0,1
ar,gu,ANY,3,1,1,0,1
ar,z,ANY,1,0,1,0,1
ar,z,ANY,2,0,1,0,1
ar,z,ANY,3,0,1,0,1
ar,z,ANY,1,1,1,0,1
ar,z,ANY,2,1,1,0,1
ar,z,ANY,3,1,1,0,1
